
--- Source: agriculture-in-kpk impact of fertilizer on crops.xlsx ---
    Unnamed: 0 Unnamed: 1              Unnamed: 2                    Unnamed: 3 Unnamed: 4 Unnamed: 5
0           Sr       Year                 Factors                  Sub - Factor  Districts     Amount
• Collar rot: Caused by Sclerotium rolfsii or Phytophthora spp.
• White cottony mycelium at base of stem; plant collapses.
• Prevention: Trichoderma treatment of nursery mix; avoid overwatering; use raised beds; apply carboxin or Ridomil drench.

16. How do I disinfect my soil before transplanting?
• Solarization: Cover moist soil with clear plastic for 4–6 weeks in summer (kills most pathogens).
• Chemical: Formalin drench (2%) — cover for 3 days, then air for 1 week.
• Bio-fumigation: Incorporate brassica residues (glucosinolates suppress pathogens).
• Trichoderma incorporation: Mix into soil at transplanting.

17. What is the role of humidity in spreading fungal diseases?
• Most fungal pathogens require leaf wetness (>6 hours) or high humidity (>80%) for spore germination.
• High humidity promotes: Rusts, mildews, blights, botrytis.
• Manage: Improve air circulation, avoid evening irrigation, use drip instead of overhead, increase row/plant spacing.

18. How do I identify viral diseases in my crops?
• Viral disease symptoms: Mosaic patterns (light/dark green mottling), leaf curl, stunting, yellowing, necrotic streaks, ring spots.
• Spread by: Aphids, whiteflies, thrips (vector-borne); contaminated tools; seed.
• No curative treatment once infected.
• Confirmation: Send sample to plant pathology lab for ELISA or PCR test.
• Management: Control insect vectors, use virus-free seed, remove infected plants.

19. Can seed treatment prevent most seed-borne diseases?
• Yes — seed treatment is one of the most cost-effective disease management tools.
• Treats: Loose smut, covered smut, Karnal bunt, seed rots, damping-off.
• Common treatments: Thiram + carboxin (broad spectrum), tebuconazole (smuts, bunts), imidacloprid (insect + some virus vectors).
• Seed treatment does NOT protect against soil-borne or air-borne diseases that develop later.

20. How do I report a new crop disease to the agriculture department?
• Collect samples: 4–6 affected plants in paper bag (not plastic — avoids moisture buildup).
• Take clear photos of symptoms.
• Contact: District Agriculture Extension Office / Plant Protection Department.
• Pakistan: Plant Protection Department (PPD): 051-9204117.
• India: State Directorate of Agriculture / ICAR Research Station.
• USA: Contact local Cooperative Extension Service.
• Provide: Crop, variety, symptoms, area affected, recent weather, inputs used.

SECTION H: PESTICIDE USE & SAFETY

1. What is the correct dose of herbicide for wheat?
• Broadleaf weeds: Bromoxynil 225 EC @ 400 ml/acre; 2,4-D amine @ 400 ml/acre.
• Grassy weeds: Clodinafop-propargyl 15% WP @ 160 g/acre; Fenoxaprop-P-ethyl.
• Mixed weeds: Isoproturon + 2,4-D combination.
• Apply at 2-leaf to tillering stage of crop (not at heading).
• Always read label — doses vary by formulation.

2. How do I mix pesticides safely without harming myself?
• Wear full PPE before handling (see Q3).
• Work in open, well-ventilated area.
• Read label — never mix chemicals not approved for co-application.
• Add water first, then pesticide (not reverse).
• Never eat, drink, or smoke during mixing.
• In case of splash: Wash with plenty of water immediately.

3. What protective gear should I wear when spraying pesticides?
• Minimum (all spraying): Long-sleeved shirt, long trousers, closed shoes, hat.
• Recommended: Chemical-resistant gloves, safety glasses/goggles, face shield.
• For highly toxic pesticides: Full chemical-resistant coverall, respirator, rubber boots.
• Wash all clothing separately after spraying.
• Never spray without PPE — even "low-toxicity" products.

4. How do I calibrate my knapsack sprayer for accurate spraying?
• Fill sprayer with plain water.
• Walk at normal pace and spray 1 minute over a measured area (mark with pegs).
• Measure water collected in spray swath.
• Calculate: L/min ÷ (nozzle width m × walking speed m/min) = L/m².
• Adjust pressure, nozzle, or walking speed to achieve desired application rate (typically 200–250 L/acre).
• Re-calibrate when changing nozzles or operators.

5. What is the pre-harvest interval for a pesticide?
• Pre-harvest interval (PHI): Minimum days between last spray and harvest.
• Allows pesticide to break down to safe residue levels.
• Always printed on the label — check before spraying near harvest.
• Violating PHI: Illegal in most countries; makes produce unsaleable; health risk to consumers.
• Example: Chlorpyrifos on vegetables: 7–14 days PHI.

6. Can I mix two different pesticides together in one spray?
• Only if the label says "compatible" or after a jar test.
• Jar test: Mix small amounts in a glass jar; check for precipitation, separation, or gelling — if any, do not mix.
• Never mix: Alkaline pesticides + acidic ones; copper fungicides + organophosphates; most oil-based + water-based.
• Mixing benefits: Saves time; but increases poisoning risk and resistance risk.
• When in doubt: Spray separately.

7. What is a systemic pesticide vs. contact pesticide?
• Contact pesticide: Kills pests on direct contact only. Does not move through plant.
• Systemic pesticide: Absorbed by plant and distributed through vascular tissue. Kills pests feeding anywhere on plant.
• Contact examples: Pyrethrin, copper fungicides, sulfur.
• Systemic examples: Imidacloprid (insecticide), tebuconazole (fungicide), glyphosate (herbicide).
• Systemic: Better for hidden pests (stem borers, soil insects), but higher resistance risk.

8. How do I dispose of empty pesticide containers safely?
• Triple rinse: Rinse container 3 times with water, add rinsate to spray tank.
• Puncture container to prevent reuse.
• Do NOT: Burn containers, reuse for food/water storage, throw in waterways.
• Return to dealer collection point if available.
• Pakistan/India: Contact Crop Life Pakistan/India for disposal events.
• Bury punctured containers in designated waste area away from water sources.

9. What are the signs of pesticide poisoning and what should I do?
• Symptoms: Nausea, vomiting, dizziness, headache, excessive sweating, blurred vision, difficulty breathing, convulsions.
• Immediate action:
  1. Remove from exposure area.
  2. Remove contaminated clothing.
  3. Wash skin with soap and water.
  4. If eyes: Flush with clean water for 15 minutes.
  5. Call emergency services or go to hospital immediately.
• Bring the pesticide label to the hospital.
• Emergency (Pakistan): 1122 (Rescue) or hospital emergency.

10. Which pesticides are banned in Pakistan and should not be used?
• Banned in Pakistan: Aldrin, dieldrin, DDT, endrin, heptachlor, mirex, toxaphene, chlordane, endosulfan, methyl parathion, monocrotophos (restricted).
• Globally banned (Stockholm Convention POPs): 12 original + additional dirty dozen.
• Check: DRAP/NLRC registered pesticides list or visit your Agriculture Department.
• Never buy unregistered or imported pesticides from informal sources.

11. How do I store pesticides safely at home?
• Store in original labeled containers — never in food/drink containers.
• Keep in locked, cool, dry, ventilated room away from living areas.
• Store away from children, food, animal feed, seeds.
• Keep away from heat, open flames.
• Separate herbicides from insecticides and fungicides.
• Maintain inventory: Date purchased, amount remaining.

12. What is the difference between fungicide, insecticide, and herbicide?
• Fungicide: Kills or inhibits fungi and fungal diseases.
• Insecticide: Kills insects.
• Herbicide: Kills unwanted plants (weeds).
• Nematicide: Kills nematodes.
• Bactericide: Kills bacteria.
• Rodenticide: Kills rodents.
• Always use the right category for the problem — using a fungicide for insects is ineffective and wasteful.

13. How do I control broadleaf weeds in wheat without harming the crop?
• Selective herbicides: 2,4-D amine (320 ml/acre in 80L water) or bromoxynil.
• Apply at 3–5 leaf stage of wheat (not at jointing or heading).
• Spot spray: For isolated weed patches.
• Do not apply in hot conditions (>30°C) or near susceptible crops (cotton, vegetables).
• Tank mix 2,4-D + metsulfuron-methyl for broader weed control.

14. When is the right time to spray fungicide for wheat rust?
• Preventive: When conditions are favorable (cool, humid) and crop is at flag leaf to heading stage.
• Curative: At first appearance of pustules.
• Critical timing: Flag leaf (F) to ear emergence (F+2 weeks) — protects the most important yield-contributing leaves.
• Do not delay beyond 5% crop area infected.

15. What is pesticide resistance and how do I prevent it?
• Resistance: Pest population that survives pesticide that previously controlled it.
• Caused by: Overuse of same pesticide, sub-lethal doses, lack of rotation.
• Prevention:
  - Rotate pesticide groups (IRAC/FRAC/HRAC mode of action codes).
  - Use correct dose — never reduce.
  - Apply only at ETL.
  - Combine with cultural and biological controls.
  - Avoid calendar-based spraying.

16. How do I clean my sprayer after using a pesticide?
• Triple rinse: Fill with clean water, spray until empty; repeat 3 times.
• For herbicides: Add 0.5% ammonia solution for extra rinse.
• Clean nozzles, filter, and strainers separately.
• Dispose of rinsate in field (dilute) not near water.
• Store clean, dry, with nozzle removed.
